a,b,c,d,e,f
7,13,23,31,35,39
4,15,18,21,28,35
1,17,19,21,35,36
4,6,23,26,29,42
2,17,22,25,34,35
5,7,15,18,24,30
5,12,13,15,28,35
4,7,11,14,27,32
2,6,22,27,31,33
3,13,22,26,27,30
9,13,14,19,33,36
5,9,14,19,25,27
1,3,4,25,26,37
7,10,15,38,39,40
8,13,19,30,35,40
2,8,23,27,36,42
4,11,18,20,22,36
19,20,24,25,26,30
2,10,11,12,32,35
3,26,30,33,35,38
22,23,29,31,34,37
3,4,6,20,34,36
4,5,9,31,39,42
6,12,21,26,31,38
15,19,23,27,35,36
13,16,18,27,33,35
3,4,14,21,37,39
10,13,26,33,38,40
19,21,22,24,34,37
5,6,8,32,38,42
13,16,21,26,30,38
5,14,28,32,38,40
6,17,18,20,26,28
5,11,14,19,22,30
1,17,23,30,36,40
5,6,7,11,17,36
7,12,14,21,23,32
5,11,19,21,30,37
1,4,25,35,38,41
5,10,15,28,32,41
6,8,9,16,20,27
3,12,13,27,31,37
4,10,24,27,30,38
9,17,19,26,38,40
1,4,13,24,27,34
1,13,15,27,32,33
2,6,17,32,33,35
9,15,31,34,35,37
6,12,13,14,33,41
1,2,11,18,23,41
11,15,17,19,22,41
18,22,27,36,39,40
4,8,14,15,18,20
11,16,20,26,39,40
3,11,13,32,33,41
5,15,16,17,26,32
1,2,6,7,9,38
4,7,12,23,25,37
2,13,22,25,26,34
23,25,27,31,33,40
3,7,9,15,29,31
11,13,14,29,32,40
1,7,9,13,18,39
1,8,9,23,29,35
3,9,11,24,34,38
6,13,23,29,34,42
14,21,26,37,39,41
3,4,20,22,36,42
16,22,26,27,31,32
3,5,18,23,37,38
1,13,14,21,29,35
5,16,18,19,21,29
13,17,18,34,37,42
1,2,15,21,37,40
1,6,14,16,33,40
6,12,20,21,33,36
1,3,7,11,31,41
4,12,14,25,34,35
10,12,15,27,33,40
7,9,16,19,31,36
2,3,13,27,34,38
5,14,16,23,28,34
5,11,19,29,32,39
2,8,10,14,20,24
2,5,11,17,34,39
2,22,26,34,37,39
6,23,25,30,31,38
14,25,27,29,33,41
7,18,22,24,30,35
22,23,28,29,30,39
6,19,23,24,38,39
3,7,23,33,34,39
5,10,11,15,17,32
3,7,12,15,32,39
3,11,12,25,36,42
2,11,15,17,20,37
1,3,11,32,37,38
7,13,22,32,38,40
9,25,30,33,34,41
2,4,12,13,14,36
1,7,16,28,33,39
3,15,34,35,36,42
10,11,17,24,33,40
5,26,29,31,38,39
2,14,17,18,20,38
8,18,26,30,31,37
14,18,21,22,29,30
7,8,9,15,32,33
22,23,24,33,34,38
4,21,22,26,28,34
3,7,21,27,28,39
4,13,21,34,35,38
1,3,9,25,30,34
3,14,21,23,32,34
11,13,23,28,30,40
3,6,12,15,22,24
4,11,20,25,27,33
1,3,5,13,23,37
3,13,17,19,29,31
2,3,21,28,34,41
1,23,29,34,40,42
12,22,25,37,38,40
7,25,27,33,36,39
8,11,12,13,19,24
8,13,16,34,35,38
23,30,35,38,41,42
3,7,11,22,24,37
15,21,22,31,32,35
13,17,18,27,30,34
6,18,20,30,32,34
8,12,16,25,26,38
21,23,27,36,41,42
4,14,20,24,37,38
3,18,21,29,35,36
14,17,23,27,30,35
2,3,6,11,12,19
8,17,29,35,38,40
4,7,15,16,37,38
8,22,25,31,33,34
1,3,14,15,28,30
12,24,30,35,37,42
1,8,13,14,27,28
4,7,9,19,37,39
7,17,24,30,32,33
4,8,14,21,30,41
3,10,11,17,19,23
5,7,10,22,34,40
1,3,4,10,20,26
3,22,23,24,36,41
5,8,17,25,27,40
13,14,23,29,33,40
10,12,17,28,29,30
7,19,22,25,27,38
4,15,16,18,22,25
6,17,24,28,32,39
9,16,17,31,32,41
9,22,26,29,36,40
2,3,7,9,14,21
15,18,20,22,27,40
15,31,34,35,36,42
4,7,10,17,25,41
6,9,19,23,24,29
6,22,29,32,33,34
5,12,22,25,32,39
7,12,25,30,38,39
17,21,34,35,38,40
1,2,24,25,30,33
1,7,10,24,34,35
7,9,18,20,31,41
1,25,30,34,36,42
3,9,19,34,36,37
6,7,15,25,34,37
4,26,27,31,34,37
4,14,19,20,27,33
4,8,20,25,28,40
4,14,16,22,24,33
8,9,11,27,36,37
8,15,16,23,39,40
8,9,17,26,33,36
8,15,17,29,33,34
3,25,33,34,38,40
19,25,30,32,33,36
1,25,30,32,36,40
10,11,12,21,32,36
6,17,21,22,26,42
5,15,20,28,36,39
9,22,24,27,31,36
3,7,9,19,35,36
4,10,19,24,34,35
12,18,19,23,30,42
11,20,23,34,35,42
1,7,11,15,20,35
4,14,20,22,23,24
2,7,12,15,21,36
3,14,20,27,35,41
5,8,15,16,20,30
7,8,10,16,35,41
1,7,22,27,31,42
2,8,21,29,31,41
3,4,6,13,18,36
1,12,21,26,30,40
3,12,24,34,35,42
7,18,20,34,41,42
6,14,24,26,35,40
12,20,23,25,26,35
2,7,24,28,29,40
16,22,24,28,33,40
4,5,11,17,23,29
11,16,28,29,32,38
1,11,15,28,31,34
6,7,24,25,27,37
6,17,23,25,34,39
3,8,16,18,23,28
5,8,12,31,33,36
2,3,4,14,28,34
18,25,28,31,39,41
8,16,19,23,30,41
6,7,10,12,31,34
1,3,15,24,30,32
1,2,12,17,36,42
5,10,23,24,27,38
2,9,17,18,24,39
8,15,16,17,19,39
5,7,18,19,21,38
3,4,12,35,36,41
12,27,36,37,39,41
5,7,9,11,19,25
2,12,16,18,32,33
6,9,12,16,19,33
2,8,14,25,29,30
3,6,9,11,31,41
8,27,30,31,34,39
8,21,25,31,36,40
4,9,13,18,28,38
16,19,28,35,40,42
1,2,4,10,16,42
3,5,11,20,26,36
5,15,21,23,25,26
8,16,26,28,33,37
13,15,19,23,32,34
6,7,22,27,28,38
2,13,23,26,29,36
20,21,27,32,35,40
13,16,19,23,27,40
5,14,20,23,32,33
7,8,26,27,30,34
3,5,13,27,37,40
3,15,16,21,31,35
9,14,20,31,35,38
3,12,17,18,23,41
4,9,11,25,28,34
5,20,24,29,30,42
7,8,18,29,36,37
8,18,23,24,33,42
4,9,10,15,16,19
15,31,32,35,39,40
2,6,9,14,23,24
8,13,14,23,33,40
3,8,12,14,22,30
9,14,21,23,28,41
8,14,19,21,30,37
2,3,9,22,26,39
5,9,10,11,19,24
24,28,29,32,35,36
2,9,13,25,38,41
2,6,7,33,35,40
17,20,28,35,37,39
4,7,19,25,26,41
1,3,15,20,31,37
2,10,25,36,40,41
17,23,26,30,35,38
2,13,20,24,31,36
6,8,9,16,18,37
9,14,19,23,27,34
1,10,11,12,33,41
5,13,20,32,38,42
4,10,25,29,35,41
3,30,34,35,39,41
6,7,16,18,36,40
6,13,18,33,36,41
10,20,24,28,37,41
4,16,33,36,38,39
10,12,18,25,38,42
5,13,26,29,30,40
10,13,27,28,29,35
3,17,19,25,29,38
5,12,23,34,37,42
6,8,24,28,36,38
13,26,29,31,36,40
2,13,20,24,37,39
1,21,22,23,24,40
2,9,13,14,24,37
8,15,22,23,25,37
5,14,17,26,41,42
16,33,36,37,40,41
3,7,16,21,25,35
2,5,6,7,8,15
4,9,19,26,34,35
4,7,30,33,36,38
1,5,7,18,21,29
11,13,16,19,31,37
2,16,36,37,38,40
17,19,31,36,41,42
4,8,12,15,19,24
2,5,8,16,17,25
5,22,25,26,30,34
5,7,12,23,28,37
6,7,27,28,34,37
8,18,27,28,31,39
5,16,17,35,36,37
4,5,9,14,15,36
3,9,25,26,32,40
6,8,15,25,30,40
15,17,23,32,39,41
14,15,30,36,41,42
3,11,18,31,37,41
5,8,12,17,25,35
7,13,26,32,37,40
1,12,14,17,34,35
6,20,27,28,34,39
10,13,27,33,39,40
6,10,18,28,33,37
14,22,27,31,35,39
9,10,16,20,24,34
6,13,18,20,26,32
22,26,34,38,40,41
3,6,9,16,20,21
9,11,23,25,29,35
1,3,5,14,26,31
11,18,22,23,25,29
1,6,7,13,37,42
9,17,20,23,30,33
1,12,22,29,32,36
4,6,7,15,18,42
5,16,20,21,23,35
2,3,18,30,34,38
10,23,26,30,34,38
1,2,7,33,37,38
5,13,18,23,25,39
5,14,23,28,30,36
1,6,7,10,25,34
7,15,32,34,37,38
14,16,25,26,31,36
1,4,11,15,22,40
9,10,14,20,28,33
8,9,31,32,35,42
4,10,14,25,40,42
2,6,23,25,29,38
7,10,17,25,31,42
2,9,11,14,15,36
6,7,18,22,23,41
5,18,27,28,29,39
11,15,17,20,24,25
1,5,10,12,14,29
19,20,21,28,38,42
2,3,28,29,38,39
9,12,21,23,33,34
3,10,17,31,36,42
24,27,36,37,39,42
9,12,19,33,38,41
1,6,10,26,27,41
2,9,11,20,41,42
3,6,15,22,25,28
2,10,12,28,34,38
2,4,7,23,37,40
7,9,21,23,24,42
5,11,12,24,32,40
4,9,19,33,37,41
11,14,26,29,32,39
3,6,11,17,27,30
10,18,25,29,33,39
1,12,19,21,35,39
10,13,16,18,20,42
19,21,22,26,35,41
1,13,14,20,25,35
11,20,29,31,33,39
6,10,19,22,36,39
11,14,20,30,39,42
1,2,7,10,17,22
1,3,6,23,28,37
8,14,17,21,34,41
12,17,20,28,31,38
8,21,23,31,33,36
11,17,20,21,30,37
9,18,23,32,37,38
1,18,20,25,26,31
4,8,15,18,20,25
5,8,9,14,41,42
5,10,25,27,36,38
3,7,14,15,19,39
3,7,13,15,24,27
2,5,11,12,35,39
6,13,14,25,36,39
4,25,32,39,40,41
4,6,10,18,38,39
1,2,5,24,27,42
7,9,10,20,22,38
18,23,25,26,41,42
2,17,27,38,39,42
4,19,20,29,39,40
7,21,23,34,40,41
1,2,6,9,28,33
3,24,25,34,36,39
1,2,3,27,37,41
5,9,13,14,38,41
3,13,20,30,40,41
6,17,26,33,40,42
3,17,22,23,32,35
5,9,17,30,35,38
2,17,22,26,27,35
1,7,12,20,27,29
1,18,21,23,24,27
15,23,25,27,34,42
3,13,23,27,29,41
13,17,19,23,28,29
9,15,23,28,29,31
1,24,27,36,37,39
2,4,15,24,36,39
7,19,20,23,29,32
8,21,22,32,39,42
6,15,20,24,29,30
2,7,14,21,26,29
5,18,23,27,33,40
3,5,12,18,21,27
3,9,14,28,29,41
2,6,9,11,27,40
7,19,28,29,30,41
12,19,20,22,24,35
1,8,19,22,34,35
11,18,19,20,27,36
1,3,15,21,22,39
5,10,21,28,40,41
8,13,14,20,26,34
16,17,19,22,27,35
3,17,25,29,30,38
15,22,23,26,35,42
4,12,20,33,34,39
4,5,17,25,36,39
1,9,19,23,27,36
18,22,32,34,35,38
8,9,10,11,34,41
3,12,23,27,37,42
2,10,13,34,35,40
2,7,11,12,28,32
4,7,14,18,32,33
7,28,31,33,39,41
1,9,15,16,25,36
1,7,10,12,15,16
10,14,16,29,36,41
22,25,28,29,35,41
14,16,34,36,37,42
2,15,26,31,34,37
15,17,25,38,40,42
3,23,26,30,33,38
5,12,13,20,28,41
10,18,20,24,28,32
10,12,18,19,33,39
9,20,21,31,36,38
6,9,12,19,26,42
3,13,16,27,28,39
9,18,26,29,37,41
11,24,31,40,41,42
2,4,7,22,29,35
6,8,11,19,21,36
15,17,24,26,27,39
3,5,12,17,35,42
3,13,21,25,34,37
11,14,15,18,22,28
23,25,27,29,31,39
1,6,17,22,25,39
1,14,20,22,28,31
7,9,11,12,21,24
15,22,28,37,40,42
2,14,34,35,36,38
4,8,11,22,28,34
9,10,23,33,37,38
11,14,20,23,33,35
17,21,25,26,32,40
19,22,25,29,35,40
2,4,12,13,25,30
4,22,23,28,31,37
3,5,24,26,33,42
8,17,30,34,36,38
2,17,21,22,35,41
2,9,26,28,33,38
7,24,25,29,38,42
4,6,21,32,33,36
15,19,21,22,29,39
1,3,13,31,34,38
1,2,4,15,26,41
13,22,26,29,35,39
2,9,15,25,32,35
5,8,18,24,25,32
6,16,18,31,34,39
4,10,20,28,32,39
4,8,22,30,33,42
16,26,28,29,32,34
5,11,17,20,27,35
5,21,25,28,32,34
9,10,15,23,34,40
10,23,29,30,32,38
3,6,9,13,14,38
9,13,16,17,29,41
1,12,19,34,35,40
4,14,24,25,35,41
12,17,25,27,32,37
2,12,13,17,28,29
11,14,26,33,41,42
3,7,24,25,30,39
1,4,11,17,19,36
7,8,11,24,37,40
2,6,8,12,14,34
14,16,21,25,33,42
8,21,23,26,30,37
2,5,10,17,30,38
2,3,11,18,30,34
4,7,18,22,34,37
10,15,25,28,29,34
7,20,25,27,31,37
3,13,15,25,37,39
7,10,15,17,22,25
2,6,10,12,23,24
2,6,17,21,36,41
2,4,11,19,26,36
9,11,24,25,30,33
18,22,24,27,31,34
3,6,14,20,29,40
21,23,26,27,32,38
8,9,10,35,37,39
3,7,19,33,36,40
2,4,6,10,35,42
14,15,17,18,31,36
1,4,14,16,26,37
3,6,12,25,29,32
2,6,8,9,17,25
1,16,22,27,32,33
2,3,10,13,17,26
10,11,20,22,26,38
13,20,27,30,37,41
16,21,27,35,38,40
9,11,30,31,38,42
1,2,11,12,21,25
4,15,27,32,35,38
13,18,19,21,26,27
10,12,15,16,29,40
10,11,23,33,34,37
2,12,15,27,37,38
5,10,11,13,21,37
13,16,17,18,20,34
8,13,21,34,40,42
8,11,17,23,36,42
9,10,11,15,18,27
3,7,9,12,27,32
4,10,11,23,31,35
2,4,8,9,36,42
21,24,25,27,31,39
9,17,22,31,34,37
4,11,15,22,33,42
2,12,16,17,22,42
23,29,31,32,37,38
13,27,29,36,39,41
6,9,12,15,23,29
10,14,20,29,39,42
10,19,21,30,31,32
1,5,12,33,37,40
7,8,22,37,40,41
1,3,4,31,34,37
9,10,17,18,25,31
13,14,15,19,37,40
5,10,13,31,34,40
6,11,27,33,37,38
7,14,16,19,41,42
5,9,12,15,21,35
1,7,17,23,25,34
12,13,14,22,25,28
6,7,30,33,38,42
4,19,23,25,32,42
8,10,18,24,33,41
5,7,8,25,37,39
12,14,22,23,28,37
1,15,17,18,24,40
7,10,22,26,27,28
1,5,15,17,27,39
2,6,9,12,25,33
2,8,15,27,28,41
6,14,15,24,26,41
4,7,17,18,31,33
8,10,16,29,30,34
4,22,23,26,34,39
2,15,16,23,25,32
2,10,15,23,24,34
13,15,18,19,23,36
6,11,21,32,33,42
13,17,20,25,29,37
3,11,13,18,31,37
5,15,22,24,27,37
2,7,19,20,36,38
4,5,7,26,30,33
26,30,33,35,36,41
2,12,14,18,28,30
6,11,13,17,31,32
2,7,16,24,36,39
10,17,29,31,32,36
1,2,9,21,25,39
10,13,20,25,30,35
1,4,11,14,27,28
5,9,18,19,31,34
17,22,24,29,40,42
3,11,20,24,31,41
3,11,21,23,28,34
1,5,24,30,35,42
4,5,10,11,21,33
2,6,15,17,21,33
1,4,6,8,25,40
4,12,17,22,24,38
6,9,19,28,29,31
16,21,29,30,32,36
7,13,23,33,40,42
3,24,28,30,33,36
1,13,14,19,24,41
2,11,14,29,30,40
9,17,21,22,25,34
1,13,14,15,33,42
3,13,23,24,26,40
8,17,27,29,41,42
1,5,28,30,32,36
3,10,20,26,35,41
1,17,20,27,28,41
8,9,23,36,41,42
2,19,22,25,26,29
2,6,20,26,27,35
2,8,21,29,31,38
10,16,21,30,34,41
6,8,17,29,36,37
2,7,8,20,21,35
12,13,18,20,26,27
7,11,30,31,33,40
4,10,15,19,21,37
1,3,16,29,36,42
1,12,21,22,26,28
4,9,15,23,25,29
12,17,18,29,34,37
7,12,15,18,29,37
3,6,8,16,17,39
15,16,20,22,27,35
3,11,15,33,34,40
3,19,27,33,36,39
7,13,23,26,27,28
3,6,10,11,20,42
9,19,23,25,28,29
10,12,21,33,36,38
3,4,5,8,17,23
2,15,25,29,35,41
7,14,19,26,29,40
2,7,17,25,32,36
1,8,15,29,30,42
11,18,20,30,37,42
10,21,23,24,41,42
5,13,24,27,36,38
2,6,7,11,12,18
3,6,12,27,31,37
7,16,23,26,33,40
1,4,8,26,36,41
6,11,27,37,38,42
4,9,16,20,21,34
1,7,17,25,36,39
2,21,22,32,39,41
7,11,12,16,39,41
7,13,25,26,30,32
1,6,14,19,21,30
4,7,28,30,39,41
5,7,19,27,28,33
7,9,13,14,23,27
8,15,23,28,38,39
13,23,28,30,34,38
2,7,9,17,30,37
2,9,24,25,28,33
9,11,13,18,31,40
4,6,7,10,19,25
21,26,27,33,34,35
9,10,22,27,38,41
13,14,21,36,41,42
4,17,18,23,29,40
4,13,18,20,23,26
11,16,19,23,32,41
3,11,18,24,26,39
1,12,14,17,26,42
3,10,30,36,37,38
1,9,11,16,28,41
3,10,37,38,41,42
24,25,28,31,38,40
2,5,16,21,30,32
1,3,4,6,9,28
2,13,30,35,38,42
2,7,24,28,33,35
5,11,15,27,35,39
5,21,24,25,32,33
2,8,20,24,26,40
11,17,19,28,34,39
4,12,16,26,41,42
4,10,21,39,40,42
9,18,20,23,26,40
10,14,19,21,33,36
3,11,17,22,25,35
2,7,16,25,28,31
5,13,14,25,26,28
7,10,15,28,31,39
3,14,16,20,34,40
2,5,10,22,23,40
9,12,28,29,39,42
10,12,23,24,26,41
2,13,15,16,24,28
8,9,10,17,30,33
9,23,26,31,35,36
6,23,26,28,32,36
4,12,14,16,29,42
4,19,22,27,30,40
3,32,34,36,37,41
7,22,24,30,31,32
6,13,29,30,34,41
12,14,23,26,28,37
4,19,24,26,35,38
1,9,13,15,22,34
5,15,33,35,38,39
1,14,21,37,38,39
1,9,12,13,20,29
4,10,11,20,34,42
1,3,7,16,29,31
13,18,21,22,29,36
13,18,25,32,40,41
8,18,25,27,35,39
13,14,16,18,23,29
3,16,28,31,34,35
8,11,16,25,30,34
4,7,19,28,31,38
7,21,26,28,30,32
1,13,15,17,23,27
11,25,27,28,29,35
6,17,23,26,32,33
1,5,13,15,23,39
1,18,25,28,33,34
8,9,10,13,38,42
10,17,28,29,36,41
7,13,14,16,19,30
12,16,21,23,28,41
3,5,14,28,39,41
3,6,8,12,32,41
11,19,24,29,38,40
1,2,3,18,24,27
7,11,16,36,38,42
16,17,18,23,32,36
18,21,28,35,36,38
1,2,3,9,30,39
12,14,15,18,35,38
2,9,14,21,23,39
14,31,32,35,38,42
4,18,22,25,28,36
2,9,12,24,29,38
1,7,14,18,26,36
1,4,6,15,29,36
8,9,18,20,29,39
1,12,13,21,24,36
4,17,22,24,27,36
14,15,18,20,21,24
8,30,31,34,35,38
11,13,21,26,27,32
23,26,27,29,33,39
2,18,25,27,28,38
1,4,25,26,28,36
1,7,25,26,38,40
5,6,11,20,22,39
4,15,18,24,29,33
1,5,15,16,22,40
12,15,27,31,36,40
8,21,23,25,29,32
1,9,10,27,35,40
2,3,5,24,36,42
5,12,17,19,21,33
15,17,22,33,38,39
9,23,29,31,32,34
7,9,13,26,33,35
10,14,25,26,39,41
1,9,12,22,27,34
7,12,13,17,20,23
3,7,11,13,34,35
3,21,25,33,39,42
13,16,26,28,31,41
1,12,16,23,35,41
2,9,22,25,26,39
1,2,6,7,38,41
11,13,21,32,35,42
4,6,12,13,39,40
8,19,20,29,30,35
4,7,8,15,18,31
2,4,8,18,24,25
10,15,25,27,33,41
19,22,28,30,31,32
4,8,14,28,33,42
8,11,28,34,40,41
11,12,14,18,24,39
2,25,29,35,37,41
3,13,18,19,29,37
17,20,34,38,40,41
3,15,25,26,29,33
1,2,27,33,34,42
2,11,15,17,23,25
1,13,14,27,31,33
10,20,26,34,37,42
19,22,27,35,37,42
2,11,15,20,25,29
1,9,14,26,35,37
4,6,10,13,15,42
6,9,17,23,33,36
8,13,21,23,25,32
2,8,9,10,28,36
2,6,14,15,16,41
3,7,28,32,36,38
4,12,18,20,25,37
9,12,21,34,39,41
17,31,32,33,36,42
8,20,21,30,32,35
1,6,13,21,32,36
14,18,19,21,29,30
15,18,34,36,38,40
2,7,13,18,20,24
3,15,19,26,29,33
13,24,30,37,41,42
8,10,17,21,26,30
18,23,28,29,30,41
9,17,26,30,38,39
5,20,24,27,31,36
4,15,25,27,34,42
1,4,6,11,24,27
13,15,20,24,35,42
1,11,14,26,33,39
12,15,16,20,29,34
1,3,8,16,26,42
3,6,9,16,29,36
8,25,28,36,41,42
4,6,9,16,31,32
6,8,16,28,39,42
8,18,25,26,30,31
5,7,10,26,28,42
3,9,25,30,41,42
5,17,21,30,31,40
2,8,9,19,28,41
2,4,17,37,38,40
1,3,13,14,27,28
5,7,9,24,26,27
12,28,29,30,31,37
3,17,25,27,30,38
6,7,9,13,14,21
1,12,15,24,32,33
1,10,12,19,21,34
2,4,9,17,18,24
6,23,25,31,33,34
18,22,30,32,35,38
8,15,22,38,39,40
3,26,29,31,37,39
14,16,34,35,38,40
1,10,13,16,20,26
1,14,17,33,37,42
18,19,21,26,31,40
10,18,33,39,40,42
11,24,27,39,40,41
8,25,27,29,37,39
6,19,21,25,30,31
23,26,28,31,34,41
4,20,25,28,34,39
1,9,11,12,31,41
6,7,25,27,38,39
1,8,19,22,37,42
7,10,11,15,21,38
16,24,28,29,30,37
14,26,36,38,40,42
4,7,16,17,27,28
4,19,24,25,27,37
9,17,20,23,30,39
2,13,18,21,22,38
9,11,14,17,26,35
9,10,18,19,20,40
8,10,13,19,23,41
12,18,24,34,39,42
7,8,12,23,40,42
5,8,31,32,37,40
3,5,8,18,19,36
11,15,19,20,30,37
7,15,20,23,34,37
1,20,27,32,36,39
10,17,25,26,35,39
5,12,19,37,38,42
6,26,28,33,35,36
1,7,11,23,27,36
2,3,10,32,36,42
7,8,19,27,28,40
3,6,30,31,37,42
3,7,10,19,30,35
1,15,19,24,26,27
2,7,13,27,28,36
10,15,18,25,26,32
2,8,12,22,35,39
2,4,11,15,23,24
23,26,29,34,40,41
14,20,24,32,33,38
1,6,11,29,36,38
14,18,26,31,35,40
3,7,23,26,27,41
4,10,12,18,21,29
1,2,5,8,12,29
4,5,7,10,18,23
5,10,22,27,32,42
8,22,28,35,36,42
16,21,25,28,36,39
2,10,20,24,32,41
8,14,17,24,35,42
8,13,21,25,29,30
8,9,13,17,27,31
2,7,12,15,23,34
7,10,19,21,35,39
22,24,25,27,29,35
9,11,19,20,32,33
13,16,21,26,28,36
7,9,17,18,20,28
10,12,24,26,37,42
2,3,9,24,39,40
14,15,32,34,35,36
2,14,15,17,20,37
5,8,13,20,22,32
6,8,34,35,36,41
18,27,30,37,38,40
5,11,23,28,36,37
13,21,29,33,37,38
4,13,21,29,31,33
1,4,6,7,12,36
1,2,3,15,16,25
7,8,18,22,27,42
4,14,22,23,34,36
1,2,7,27,32,33
4,7,11,18,34,41
1,4,7,24,25,37
2,14,17,21,29,30
1,2,13,14,15,36
3,13,26,38,39,41
4,12,15,16,25,37
3,16,23,27,28,30
4,5,8,11,19,24
13,18,24,27,30,32
4,21,25,27,36,40
1,8,19,27,30,33
2,9,27,34,36,39
2,4,13,14,16,31
1,12,18,24,26,39
11,12,15,26,28,31
12,14,15,17,20,27
12,18,21,23,26,34
9,12,26,34,35,36
6,8,12,17,22,32
3,16,17,21,22,38
9,10,14,21,24,42
13,14,20,23,27,35
