a,b,c,d,e,f
15,20,21,27,36,41
6,12,19,27,31,42
5,6,7,10,23,35
15,17,18,21,23,41
6,7,23,38,40,42
4,5,10,22,28,31
12,13,25,28,39,41
2,11,12,20,25,36
2,4,10,18,21,32
6,10,12,18,28,36
2,5,12,13,20,38
1,3,9,29,33,42
12,13,15,24,28,30
2,9,14,17,30,31
8,11,18,24,25,34
27,35,36,40,41,42
7,13,14,16,35,38
4,13,23,28,31,34
6,9,24,38,39,41
3,5,6,22,24,34
2,8,9,12,21,42
9,26,28,33,34,40
9,10,23,24,27,28
2,10,21,23,24,42
9,12,26,29,33,41
14,26,30,32,35,36
2,4,7,8,16,25
4,18,22,23,36,41
2,10,22,31,38,42
5,6,10,24,26,39
6,10,17,21,22,41
19,23,24,33,35,36
12,15,19,20,38,39
11,17,35,36,37,38
1,8,9,18,28,38
8,13,20,27,33,40
2,9,14,18,29,32
9,11,17,20,24,36
16,18,22,29,32,41
13,16,28,29,39,41
5,10,23,25,27,34
16,17,18,19,26,34
6,28,31,36,38,41
2,21,26,28,35,41
3,4,10,16,34,37
1,6,11,20,29,41
1,4,7,9,20,30
7,19,24,25,29,31
9,17,22,34,35,39
18,23,26,29,38,42
4,10,15,21,28,37
2,10,16,19,27,40
9,19,28,34,38,40
3,5,7,8,25,29
12,13,15,27,30,38
18,21,29,36,40,41
5,6,7,22,39,40
10,18,19,20,33,38
3,4,6,7,10,18
5,9,19,27,28,30
4,6,10,12,20,38
1,2,4,32,35,42
7,9,14,29,31,33
18,21,27,30,39,40
5,17,20,24,27,29
17,22,23,25,34,35
3,17,21,27,36,40
6,10,15,16,20,29
6,7,11,27,30,35
2,3,5,7,17,26
4,6,10,13,22,37
17,23,26,34,40,41
16,19,24,31,32,42
1,2,5,29,38,39
9,10,21,26,35,40
7,11,17,31,34,39
5,7,8,15,30,35
8,10,12,25,29,41
1,3,8,10,16,26
20,22,27,31,37,39
13,15,19,26,28,35
4,7,12,16,21,32
4,12,27,28,35,40
2,5,7,10,15,37
4,5,6,10,12,29
1,5,9,10,38,39
3,4,7,21,39,40
1,19,21,24,34,38
1,6,7,14,17,41
5,14,21,23,37,40
8,32,33,35,37,40
4,12,22,24,27,30
2,10,11,14,18,37
7,33,34,36,37,42
8,16,19,29,37,41
5,11,16,29,30,36
12,19,20,25,26,29
19,20,22,23,41,42
4,10,12,17,25,34
6,15,18,30,37,41
4,21,27,29,37,42
12,20,21,23,35,36
8,16,23,36,38,42
8,13,16,25,31,39
6,7,13,24,32,37
2,18,20,31,35,41
6,7,11,32,41,42
7,14,23,35,36,38
3,6,7,27,32,36
15,19,24,25,29,40
1,4,6,25,32,41
11,13,16,23,31,38
2,7,10,17,19,20
2,5,16,23,26,32
4,18,23,29,34,39
8,24,27,31,32,37
7,25,27,35,36,38
1,25,32,33,36,38
1,6,10,25,27,32
1,16,17,21,22,39
5,6,7,15,30,40
3,4,20,21,22,32
3,6,19,22,35,39
4,5,16,21,26,40
4,27,30,31,32,33
3,5,17,19,22,38
1,8,19,20,29,34
1,3,7,15,17,38
3,4,21,36,39,41
14,16,20,22,23,29
7,12,13,15,20,40
13,21,25,30,31,40
7,17,22,31,32,40
5,15,24,25,30,35
2,8,10,12,24,29
13,19,21,22,24,31
2,10,11,31,34,35
2,3,4,10,20,32
3,7,26,37,41,42
17,28,30,31,32,38
24,26,28,29,36,42
2,11,19,24,31,38
5,7,22,35,40,42
5,6,17,21,34,41
8,12,14,19,21,32
2,20,23,32,34,39
3,10,21,25,30,40
5,9,15,40,41,42
11,13,26,31,37,40
12,13,19,30,32,35
3,9,20,27,29,37
4,8,20,23,33,37
2,12,19,22,24,35
1,12,17,26,27,30
2,5,10,18,23,28
5,8,9,11,14,23
8,13,22,24,25,39
9,12,13,22,26,32
5,14,22,24,27,41
2,4,24,28,34,42
1,7,15,16,24,28
2,7,21,34,35,37
11,12,13,19,21,38
4,11,19,25,32,39
4,7,12,30,33,38
15,16,19,27,31,38
11,15,17,18,29,36
8,18,21,23,36,38
1,10,12,13,23,27
5,7,28,30,33,36
5,12,13,17,21,23
11,13,20,24,38,39
9,15,20,26,30,40
1,5,18,22,31,42
7,10,16,21,29,30
4,5,8,37,41,42
2,7,14,17,34,38
9,11,21,23,25,41
5,10,17,18,35,39
3,7,12,21,26,39
11,19,20,25,32,33
6,8,13,15,31,41
8,13,15,17,25,30
14,15,17,28,32,42
4,10,21,31,32,38
3,8,9,12,30,39
8,19,22,31,37,42
2,21,32,36,39,42
5,6,10,28,37,39
6,8,11,12,30,36
20,24,26,28,36,41
3,12,16,20,29,38
4,26,28,31,32,41
5,16,18,22,29,36
1,2,19,34,38,41
10,15,23,26,27,38
1,9,13,24,35,40
1,8,10,12,26,41
4,17,19,20,29,42
7,8,38,39,40,41
4,5,9,28,35,36
4,21,33,37,39,42
1,6,12,38,41,42
1,15,18,30,32,40
4,10,18,22,23,39
10,12,18,27,29,36
4,23,27,28,34,38
5,6,9,12,17,31
1,12,20,33,40,42
7,8,19,22,26,36
25,27,30,36,38,40
4,12,17,26,30,39
1,11,12,24,27,40
2,22,32,36,38,41
7,9,12,13,15,38
3,5,14,26,29,40
3,12,24,30,35,42
5,8,24,29,31,39
6,13,19,23,24,38
2,9,14,24,31,33
7,12,22,26,28,38
5,8,12,18,22,38
16,20,21,29,35,40
2,4,18,21,28,41
7,12,24,27,38,40
7,25,28,31,33,41
2,6,11,32,40,42
6,13,17,34,36,42
7,15,27,30,31,42
3,4,20,21,37,40
8,9,14,16,28,35
4,5,11,16,20,24
6,10,13,31,38,42
17,20,22,24,28,41
4,5,18,22,29,34
2,3,7,10,30,40
4,10,19,21,29,31
2,5,7,15,26,37
4,6,9,10,14,34
3,6,11,13,19,35
3,19,20,30,39,41
14,15,27,34,37,39
8,13,15,28,30,41
3,7,10,16,20,39
1,5,12,14,30,37
6,8,18,24,31,37
10,19,24,33,34,38
1,7,16,17,27,39
4,12,18,21,23,25
1,12,14,19,23,24
5,16,23,35,38,41
5,9,12,19,29,30
5,9,20,24,30,35
14,20,24,32,38,41
10,12,15,23,30,36
8,16,18,20,39,40
8,10,11,14,22,32
2,27,31,33,37,38
5,11,17,21,25,30
5,8,10,13,26,33
3,13,17,32,38,40
1,16,32,36,37,39
6,7,31,37,38,42
1,7,18,19,23,39
1,5,7,15,33,38
15,28,32,35,36,39
3,13,17,19,24,39
5,11,26,36,38,40
2,6,19,35,37,41
3,18,21,31,33,40
10,20,22,32,33,34
13,19,23,28,40,41
2,14,22,33,35,42
4,6,13,22,33,35
6,13,17,28,34,36
5,19,20,26,41,42
2,11,20,24,30,39
1,3,6,26,36,38
6,14,21,22,27,41
8,11,16,29,30,39
4,5,10,20,32,35
3,8,22,29,31,39
9,16,17,18,27,38
3,8,9,17,18,19
18,20,24,29,30,36
5,14,16,18,22,25
1,2,7,13,31,32
1,3,8,17,21,23
4,12,14,19,23,25
16,27,31,32,38,40
3,6,8,18,30,39
13,16,19,25,26,33
11,12,27,29,30,41
1,2,5,9,34,36
19,20,24,32,33,39
1,3,4,8,17,25
6,8,14,33,34,42
20,30,33,36,38,41
7,8,14,33,38,42
10,12,15,26,27,32
4,10,15,30,31,35
4,9,10,14,36,40
3,16,17,18,26,33
19,24,25,28,39,42
17,18,21,22,31,32
7,12,27,31,33,38
1,5,6,7,11,13
16,26,27,28,29,41
15,16,18,20,21,35
4,6,10,13,22,32
6,14,19,25,27,42
2,4,16,34,36,39
8,15,17,24,29,38
4,8,10,11,15,17
2,4,7,13,26,40
2,8,31,32,35,41
15,16,19,23,24,30
11,12,14,26,30,38
4,5,17,23,25,39
8,10,14,23,30,35
3,7,8,11,19,33
2,17,19,25,30,31
8,13,15,27,30,35
4,5,9,11,13,27
14,23,29,30,34,38
25,26,30,31,34,39
12,14,16,27,37,42
11,13,15,16,21,35
7,12,19,27,33,37
19,21,23,26,39,42
11,12,31,33,35,40
6,7,8,14,20,39
5,7,18,24,38,39
2,4,5,28,35,36
20,24,26,30,34,40
2,7,15,22,24,35
1,4,15,29,32,34
2,12,26,31,35,41
1,4,11,13,14,18
2,5,10,12,16,40
5,18,19,25,26,30
9,15,20,27,35,36
10,20,26,34,40,42
3,19,22,25,33,36
2,11,25,27,37,38
7,25,30,33,36,42
9,15,19,33,34,35
6,18,19,20,36,39
3,6,14,16,20,38
19,22,25,26,27,33
2,7,21,22,39,40
6,7,13,14,17,35
11,15,17,28,32,42
12,24,30,34,35,40
3,4,25,27,31,36
5,7,8,29,33,38
2,13,21,22,33,41
12,19,25,26,37,40
2,5,9,22,30,42
20,25,29,35,38,42
5,14,27,28,31,32
1,3,7,18,33,42
14,16,17,25,33,38
11,17,27,30,33,41
8,11,13,18,26,41
4,6,9,13,24,35
4,13,16,20,22,26
11,22,26,31,33,41
9,10,17,34,36,38
4,9,21,31,34,37
5,20,22,26,34,35
4,6,18,20,23,27
2,9,16,34,35,37
3,13,17,19,24,34
2,6,16,19,23,35
3,10,15,20,25,27
9,15,16,21,24,37
3,9,14,27,32,39
8,15,20,24,29,35
1,4,10,17,19,36
9,11,17,18,25,35
10,15,26,31,35,37
7,9,17,22,23,42
1,2,12,17,19,37
13,17,21,30,35,42
7,12,13,16,35,42
2,3,16,22,23,27
7,16,18,26,28,29
1,2,10,12,22,41
11,16,18,26,30,39
7,21,32,34,36,41
5,14,20,21,30,31
6,13,21,26,30,35
4,8,21,32,40,41
4,8,13,15,30,41
5,7,15,18,22,29
3,5,6,10,11,42
14,16,21,24,39,40
2,11,13,21,26,32
2,3,24,31,32,39
13,14,15,16,19,40
9,18,24,30,34,40
13,24,28,32,35,37
8,11,23,24,36,37
1,8,15,18,30,42
8,19,25,35,41,42
1,2,14,19,20,22
9,11,30,36,39,40
6,16,20,22,26,32
3,9,22,36,41,42
8,20,24,27,36,40
2,8,13,27,36,37
7,29,31,35,37,39
1,3,7,10,19,26
1,5,17,21,23,32
11,18,20,21,37,38
4,5,6,7,32,36
10,16,22,31,32,37
5,13,20,32,33,42
10,13,18,19,23,36
6,11,16,23,29,39
5,10,12,27,28,34
13,14,17,23,31,33
6,11,13,14,23,36
6,15,20,38,40,42
8,14,19,21,22,24
5,12,15,20,26,30
1,3,20,21,40,41
2,9,12,16,20,30
1,3,8,11,31,37
14,27,28,32,33,35
11,15,21,26,29,42
4,13,15,18,22,39
1,11,24,32,34,40
4,6,16,21,35,41
6,19,37,39,40,41
10,22,26,27,35,36
5,6,7,19,23,25
1,5,11,14,19,33
13,14,15,23,38,39
2,16,22,26,34,39
3,5,14,18,27,31
1,5,17,22,28,34
12,24,29,35,39,40
7,9,20,31,36,42
4,16,19,26,33,34
8,25,28,29,30,40
11,12,14,17,22,32
3,8,23,37,38,40
4,21,26,32,34,38
8,12,19,27,38,39
1,2,9,22,23,26
3,14,26,30,36,39
1,8,14,22,23,36
4,5,10,18,29,32
8,9,10,34,37,40
1,5,9,14,31,33
7,12,15,16,22,29
5,16,17,18,26,38
11,17,20,24,27,31
19,28,29,31,33,34
5,15,16,36,39,41
2,20,29,34,38,41
7,10,11,21,27,36
9,14,16,20,37,38
10,20,28,34,37,41
7,16,30,34,38,42
2,17,21,25,39,40
14,20,27,30,31,42
3,14,15,17,30,39
7,9,20,34,40,42
6,17,22,23,25,42
12,16,22,30,33,41
3,12,13,19,26,36
14,15,16,33,34,40
5,11,26,27,28,31
7,10,11,32,33,41
15,19,25,30,39,40
3,10,18,26,27,42
9,10,23,24,29,31
9,11,18,26,33,35
11,14,28,29,31,33
8,10,21,27,35,36
1,6,14,30,34,35
4,10,17,22,28,33
7,25,29,32,37,38
1,11,17,22,33,36
1,10,11,22,25,36
1,2,7,25,26,34
3,12,18,28,29,32
5,10,19,23,25,34
4,5,10,24,32,42
4,8,12,15,25,38
8,11,13,23,27,34
3,8,12,23,26,31
1,3,25,26,36,37
11,20,24,33,36,38
4,7,11,14,20,36
10,26,32,36,37,40
4,5,8,26,27,33
22,23,25,27,31,38
2,7,9,15,19,32
1,10,21,29,31,34
17,18,24,32,39,41
10,26,29,34,35,41
7,18,22,24,36,42
11,12,14,22,25,27
12,18,26,30,33,39
1,11,16,19,24,40
2,5,9,17,18,35
9,13,21,24,36,37
2,4,8,18,28,34
1,18,22,30,33,37
7,8,19,32,33,36
2,3,4,10,12,42
3,4,6,13,16,24
1,4,10,21,25,31
8,19,20,22,26,41
16,22,28,33,35,37
7,16,17,19,22,28
5,18,27,38,40,41
7,25,29,30,31,42
2,21,24,31,37,41
1,3,12,17,25,30
1,13,14,17,26,38
13,16,23,25,33,34
6,7,10,40,41,42
8,14,25,30,32,40
2,6,18,23,32,42
1,11,14,19,39,41
14,17,20,29,32,35
3,19,20,26,27,41
16,20,26,37,38,42
7,18,21,23,24,41
7,13,15,24,38,39
1,6,9,11,13,15
4,10,11,24,29,32
3,5,18,28,30,38
18,26,30,36,41,42
3,14,15,17,18,32
5,6,12,13,17,21
7,14,18,21,24,25
13,19,23,31,36,40
22,23,24,26,37,40
7,9,12,16,25,42
12,20,21,22,23,35
3,15,20,31,36,37
7,8,13,21,26,38
1,19,20,25,32,41
8,12,16,20,23,25
7,14,20,26,36,39
2,9,16,18,25,42
7,18,21,31,38,39
2,13,18,21,36,37
9,11,14,15,26,41
4,8,20,30,34,40
2,10,17,29,35,42
2,16,23,25,31,37
1,2,4,7,19,31
2,7,17,19,23,36
7,19,20,30,36,39
15,16,28,33,37,42
9,13,17,22,24,26
1,5,16,19,32,33
2,10,26,27,32,42
4,11,13,18,27,30
1,7,16,29,30,31
7,11,17,24,30,36
11,12,22,32,34,41
3,20,29,30,31,32
8,9,13,21,22,32
6,15,16,20,31,34
4,11,15,16,36,38
6,11,14,19,31,33
5,8,19,26,30,37
6,7,31,32,35,38
1,2,19,24,31,34
13,29,36,37,38,41
16,18,33,35,41,42
2,6,14,18,19,22
4,6,9,22,35,42
4,11,19,21,27,40
1,9,11,12,19,30
1,5,11,18,24,31
11,12,17,28,38,41
1,12,14,21,30,41
4,6,18,19,31,35
2,4,7,13,14,27
3,9,11,32,38,39
15,18,21,28,32,41
1,10,22,32,34,38
3,14,28,29,30,33
8,13,15,23,25,31
2,12,19,23,36,39
4,11,14,20,26,30
1,11,13,14,16,28
5,7,10,17,23,38
1,7,14,32,37,38
5,9,12,28,31,39
4,7,8,26,27,42
3,14,17,25,37,39
6,11,15,16,31,39
2,15,18,30,34,38
3,12,25,27,35,40
1,3,5,28,35,39
8,19,24,33,34,42
9,14,16,23,31,39
21,22,26,30,35,37
5,17,22,27,36,41
3,7,16,29,31,33
1,2,5,9,10,15
18,23,24,35,36,41
4,9,27,31,34,38
2,6,10,24,30,37
19,20,22,27,33,39
2,7,10,18,31,42
2,13,21,24,36,40
4,7,8,16,32,42
8,9,15,16,17,33
8,13,15,19,24,34
13,20,30,35,41,42
8,16,17,34,35,37
12,21,31,39,40,42
8,9,23,29,30,34
9,12,14,23,33,36
6,14,22,24,31,38
2,4,5,32,37,41
6,7,28,29,38,40
8,14,16,20,24,27
14,20,23,31,37,42
5,7,13,14,17,27
3,6,9,29,32,33
4,7,12,28,38,42
7,9,25,27,29,37
14,18,25,33,34,38
3,23,25,28,41,42
4,22,27,31,34,41
15,16,19,30,38,42
4,5,9,20,28,31
6,11,17,22,32,33
3,12,14,15,17,40
7,11,16,26,34,36
8,12,18,29,37,39
4,7,9,10,33,40
1,26,27,29,30,41
6,17,20,23,26,34
5,7,8,12,29,31
8,11,22,24,30,35
1,11,26,34,35,38
5,26,27,30,38,40
9,19,26,30,32,35
7,11,12,21,38,40
1,11,14,21,25,28
13,19,23,26,34,42
1,8,16,20,34,40
14,19,25,34,35,39
3,7,16,20,31,34
5,8,11,15,17,22
4,12,22,23,25,27
14,20,28,30,34,35
5,17,28,30,32,40
3,5,18,29,34,42
2,21,23,37,41,42
2,16,17,23,32,36
2,8,10,23,29,39
2,19,31,38,40,42
6,8,12,22,23,27
6,7,12,13,15,20
4,8,20,23,39,41
1,20,35,40,41,42
10,16,28,34,40,42
12,15,18,27,35,38
1,17,22,26,28,34
5,12,20,23,30,39
4,7,26,34,37,40
1,12,20,28,39,41
1,4,5,7,22,38
21,22,26,27,29,35
2,4,15,18,30,32
2,7,25,26,30,31
11,19,27,29,40,42
13,23,28,30,31,39
10,14,18,24,31,41
9,10,13,14,26,37
3,4,20,28,36,40
1,8,17,30,34,41
2,6,11,15,19,38
2,23,33,36,38,40
7,10,19,32,33,37
11,14,15,29,30,33
3,20,23,28,37,39
7,16,20,24,31,35
9,10,19,28,30,38
12,21,32,36,37,42
19,21,22,31,33,39
5,7,8,10,14,21
19,23,29,36,37,41
11,23,24,27,30,41
2,3,16,20,28,30
1,21,30,31,34,39
1,10,12,13,16,26
6,17,22,24,35,36
3,8,15,24,28,41
1,10,11,18,35,40
5,9,23,28,40,41
1,6,21,33,34,38
5,6,20,23,36,39
1,4,14,16,19,33
3,10,13,18,31,34
6,14,21,30,41,42
5,6,12,14,21,36
4,15,18,21,28,32
2,3,12,28,33,40
5,10,24,25,28,32
17,18,24,26,28,32
21,28,30,32,33,39
3,6,11,14,21,37
4,9,17,22,33,42
5,6,13,18,23,30
5,8,9,15,19,26
2,5,14,33,34,38
1,7,17,23,31,39
6,10,19,21,29,34
1,4,14,31,33,37
2,3,4,9,17,24
4,6,8,9,26,29
12,21,26,33,35,42
6,11,21,23,29,42
15,21,32,37,39,41
1,11,19,22,33,39
3,29,32,35,37,42
16,19,20,27,31,36
26,28,31,36,37,39
1,2,5,15,16,32
8,12,21,35,39,41
1,4,12,21,31,38
2,3,16,19,21,24
8,9,10,14,16,27
10,13,14,33,37,42
2,5,7,15,32,40
1,13,25,27,28,33
17,19,22,32,38,39
1,9,29,32,33,37
10,11,22,23,27,39
8,9,12,19,28,32
6,16,20,31,33,37
4,13,18,19,35,40
8,17,21,22,25,31
2,5,13,21,34,37
6,7,27,34,39,40
3,4,9,24,27,30
3,7,19,21,24,38
8,12,13,28,30,34
5,7,12,13,15,26
1,5,22,33,34,35
11,13,14,21,30,37
1,8,14,16,28,30
25,34,35,38,39,41
4,12,14,20,21,33
1,5,10,24,31,35
10,20,26,28,30,41
11,12,19,23,27,28
3,14,19,25,34,37
8,18,19,27,34,40
2,3,5,7,20,21
5,11,15,27,39,40
7,14,15,19,21,39
5,9,11,18,29,39
6,10,19,20,22,31
4,10,11,20,22,40
2,4,27,31,34,36
14,17,25,27,33,35
2,15,24,31,34,39
12,19,31,34,38,39
6,9,11,13,29,32
7,18,19,24,26,42
9,10,12,14,25,26
1,2,14,15,17,30
7,10,12,26,34,42
9,13,14,15,31,36
8,12,28,39,40,42
9,12,18,21,26,36
6,10,19,24,37,40
8,11,23,28,32,37
1,9,19,29,36,42
3,15,18,22,25,38
1,18,22,26,32,35
1,13,19,20,36,38
11,13,21,24,25,39
3,7,12,16,18,28
2,3,6,12,26,40
4,7,8,18,35,42
3,4,5,6,15,29
1,4,10,27,40,42
3,14,16,22,24,27
9,12,15,21,30,31
9,16,20,24,30,40
1,3,11,12,15,22
1,3,6,9,19,25
3,11,19,22,26,30
6,7,13,16,27,36
2,9,15,18,25,37
6,10,11,22,25,30
5,8,17,18,27,40
14,16,24,32,33,40
8,9,14,15,28,35
8,13,16,29,30,38
16,24,31,36,40,41
2,4,9,14,21,25
4,15,16,20,30,31
13,18,19,21,29,33
4,10,12,25,35,40
5,20,21,25,27,39
2,11,18,22,24,33
1,16,20,28,38,40
3,4,14,25,30,31
17,20,23,26,32,41
23,25,28,33,37,38
7,10,11,24,26,40
3,14,33,36,37,41
6,12,15,16,23,25
2,21,26,28,33,39
2,5,28,32,35,41
2,3,9,23,32,36
8,20,23,24,37,40
8,10,15,22,31,41
1,2,24,25,33,40
2,10,16,17,19,34
3,4,8,11,28,34
1,5,6,27,30,41
4,10,13,20,32,34
8,13,16,17,21,23
10,15,18,28,30,33
9,19,22,35,38,42
10,20,21,25,35,42
6,10,11,26,27,37
10,20,28,31,32,42
7,10,20,28,34,38
8,10,11,16,21,26
19,23,31,39,40,41
3,14,20,31,36,40
1,7,16,22,32,35
1,12,20,31,34,39
7,8,12,18,20,34
19,21,27,33,34,41
16,23,29,32,35,41
2,3,10,25,37,38
13,16,30,34,37,40
1,10,21,24,26,27
9,16,18,37,41,42
14,17,23,31,33,41
6,8,13,16,23,32
9,16,24,38,39,42
7,10,18,21,22,25
5,9,16,19,23,40
4,7,9,24,26,42
19,21,26,29,32,35
8,12,20,23,25,28
5,13,14,18,26,29
8,16,27,36,37,38
2,6,14,22,38,42
3,13,16,19,23,40
1,2,20,23,28,40
1,5,12,19,24,42
1,5,6,12,29,39
13,16,19,20,21,42
7,10,15,28,39,40
10,17,27,31,39,42
6,19,23,25,30,32
4,10,19,28,32,42
2,8,12,14,19,24
9,11,16,28,30,32
1,2,11,12,15,18
5,16,21,23,33,35
4,9,14,27,34,40
7,19,26,31,33,35
2,5,12,26,28,31
4,19,23,27,36,39
13,18,22,25,36,37
2,4,7,8,24,27
1,2,10,18,22,28
6,17,19,22,32,41
5,11,12,17,21,28
14,15,34,37,38,39
23,30,34,36,37,42
1,20,22,23,33,39
10,16,17,21,31,38
6,8,9,19,36,38
4,9,27,28,29,38
2,5,6,7,32,38
5,8,9,14,22,42
2,16,22,27,30,39
2,5,15,16,40,42
9,15,16,23,27,38
2,6,22,23,27,40
8,9,15,20,28,40
3,6,10,14,19,41
3,8,9,13,14,26
15,16,20,34,37,38
1,4,24,31,38,42
11,24,25,26,38,41
6,18,20,24,30,41
2,3,21,34,35,37
1,9,19,24,28,39
1,3,7,15,25,36
2,4,8,13,14,41
4,7,15,23,30,40
14,16,23,31,34,35
8,13,14,19,22,39
4,21,33,38,39,42
5,8,20,27,31,34
6,17,28,34,40,41
1,3,9,12,29,42
10,13,20,21,28,42
1,8,13,23,25,28
3,4,7,20,31,34
5,13,21,30,31,32
4,10,19,30,36,42
12,13,33,34,37,39
3,4,19,31,36,39
3,4,10,19,29,31
9,10,14,18,38,41
2,3,16,21,34,38
21,24,37,38,40,41
7,9,19,20,24,31
3,14,21,23,40,42
3,7,9,18,30,42
4,8,25,30,31,36
15,16,19,24,36,37
10,23,28,33,34,38
11,16,17,24,28,33
3,6,7,32,34,38
16,17,18,19,35,38
3,8,13,19,21,25
11,16,21,29,35,40
2,14,25,26,35,38
3,5,22,25,34,40
10,15,16,24,28,32
1,12,13,27,33,35
1,8,9,11,18,31
2,21,30,31,38,39
1,2,7,12,28,32
7,25,26,27,39,40
17,26,31,39,40,41
16,18,25,31,32,42
15,19,21,31,39,42
1,3,19,26,31,33
1,8,19,21,25,40
2,6,17,24,25,37
1,2,9,23,28,36
4,5,9,14,17,19
24,27,30,31,40,42
10,15,16,21,23,40
1,5,12,17,26,28
2,5,15,24,25,37
9,30,36,37,39,40
1,3,11,23,30,36
7,9,10,16,33,34
17,18,19,23,28,39
2,16,20,27,37,38
2,5,6,9,21,27
2,3,8,17,33,39
2,5,14,20,32,34
