a,b,c,d,e,f
1,8,11,13,15,23
2,10,23,26,27,29
10,12,21,23,24,36
1,4,10,12,14,41
8,15,17,25,34,41
7,11,20,32,33,42
2,3,7,24,25,26
1,5,7,8,13,31
2,7,21,23,24,26
2,3,11,30,33,34
1,6,18,19,38,42
3,4,21,29,34,41
1,4,30,31,36,40
3,5,6,23,31,37
2,10,11,20,27,28
8,19,31,34,36,38
2,3,8,24,29,35
3,6,24,25,34,39
1,2,9,14,24,36
6,9,13,17,26,33
4,11,13,22,34,38
8,22,32,35,36,42
2,8,19,30,33,41
16,21,27,38,39,40
3,5,18,30,31,32
9,23,30,33,37,41
11,12,13,19,34,38
8,16,23,28,41,42
9,14,18,23,28,42
3,8,33,40,41,42
8,10,13,16,20,41
1,24,27,28,35,40
23,25,31,35,36,38
7,14,18,19,23,32
2,6,13,15,38,41
11,14,15,17,22,23
7,10,21,23,34,42
7,11,12,17,20,34
2,8,11,18,21,23
3,8,9,10,19,34
5,10,21,22,28,37
4,9,21,28,31,36
4,16,23,24,26,34
4,9,17,18,21,27
5,7,21,30,37,39
1,13,16,18,33,35
6,13,17,34,37,39
2,10,23,24,27,30
3,16,18,19,20,26
8,9,11,16,30,34
1,3,16,18,21,37
2,11,16,25,29,36
9,18,23,32,36,41
14,16,20,27,30,33
15,22,27,31,37,39
7,11,17,23,25,37
1,3,12,30,33,38
13,15,26,38,39,42
3,5,11,14,15,38
2,13,15,19,25,38
3,10,12,14,33,34
5,14,17,25,40,42
6,8,10,12,21,39
17,28,30,36,38,40
15,20,23,30,33,41
2,5,10,25,27,42
4,10,14,16,18,41
2,4,6,14,36,40
12,14,18,23,27,28
5,7,8,18,20,38
1,2,11,14,24,38
2,3,8,23,25,31
2,13,20,27,29,34
17,23,27,29,37,42
1,11,13,21,27,35
3,11,22,24,28,35
5,10,11,18,34,39
6,17,18,33,35,37
2,9,12,24,30,34
11,15,28,30,31,41
3,22,26,32,37,40
11,18,25,26,34,42
8,10,18,20,35,38
6,11,12,17,34,35
21,25,30,34,35,37
1,22,24,28,29,36
9,12,17,23,34,35
1,12,19,33,35,36
11,12,17,19,31,38
16,18,19,22,31,36
14,18,30,31,34,42
6,8,16,18,37,39
4,5,15,16,25,39
2,17,19,24,32,35
6,10,14,24,26,27
4,16,25,36,41,42
3,5,25,26,29,40
11,27,28,37,38,41
1,9,19,20,29,32
1,8,10,14,38,40
1,5,13,26,30,32
2,7,9,11,34,39
9,10,23,26,28,39
1,4,21,26,35,37
2,14,27,28,32,35
7,11,20,27,30,42
6,15,21,30,31,39
13,15,26,27,38,41
4,28,31,32,37,38
2,20,27,35,36,41
1,6,7,15,27,34
1,4,7,13,35,39
3,11,12,13,17,40
6,10,23,27,28,33
1,14,16,22,30,35
2,8,26,27,30,35
3,13,17,27,31,34
2,3,7,17,29,35
8,11,12,17,20,34
3,12,17,30,38,40
6,9,18,21,39,40
1,23,25,29,30,33
5,11,18,23,25,30
3,6,18,21,26,29
11,21,27,29,30,33
7,19,23,31,37,40
4,9,12,21,31,36
6,9,17,28,31,33
1,6,17,22,34,42
5,10,15,26,29,30
16,20,30,33,36,42
1,7,16,19,22,40
4,7,19,30,38,42
2,3,6,10,17,30
12,13,17,29,31,42
5,24,33,35,40,41
7,8,22,28,29,35
2,8,11,31,34,36
3,4,5,13,18,37
18,27,29,35,36,41
10,12,13,15,16,38
3,15,25,39,40,41
1,5,10,16,41,42
2,8,17,21,30,40
6,15,17,27,30,40
2,3,7,10,35,36
7,18,19,20,21,40
5,10,15,30,31,32
5,15,20,21,22,33
2,5,9,19,23,38
5,12,20,21,34,42
9,17,20,32,35,42
12,15,16,25,38,39
1,10,12,14,31,33
3,11,13,25,35,40
2,12,14,27,29,35
11,13,14,23,28,42
10,17,18,23,31,37
3,11,14,25,34,35
1,6,19,34,35,38
14,22,26,27,28,31
2,19,20,21,29,37
6,7,10,13,19,21
6,10,16,28,35,38
3,10,15,18,24,42
8,11,18,23,32,42
7,12,13,17,27,35
5,6,10,20,32,38
17,20,31,36,38,39
9,11,27,29,39,41
8,12,17,18,29,41
6,7,10,30,40,41
7,10,12,14,18,41
7,15,18,24,25,35
6,16,23,33,39,40
5,19,23,24,28,36
7,8,13,22,34,36
3,4,13,26,39,41
1,8,15,31,37,39
2,7,27,29,33,39
13,24,25,33,36,37
7,18,21,36,38,40
10,12,14,22,25,40
1,31,33,35,36,38
4,6,10,21,30,32
11,21,26,31,34,35
6,8,10,22,31,39
19,21,23,24,25,28
3,6,17,30,32,34
9,15,16,26,29,36
3,4,6,23,25,27
6,8,13,14,33,36
1,13,21,29,33,37
2,18,23,28,32,42
6,20,23,24,30,36
12,13,16,25,39,41
2,6,8,9,17,42
3,12,13,22,30,42
1,6,8,9,19,40
5,6,30,36,37,40
1,6,9,19,23,27
2,3,12,17,31,33
2,16,22,23,27,30
3,13,19,24,33,39
1,3,20,24,25,30
4,15,16,19,20,25
3,10,17,18,29,41
2,11,15,17,35,41
4,17,20,25,31,42
5,19,22,26,39,42
8,23,32,34,37,38
4,11,28,32,34,37
11,13,14,26,27,31
2,3,10,11,21,40
5,9,28,33,35,42
18,19,24,32,37,39
1,2,7,27,28,30
5,21,23,26,37,39
8,10,23,28,36,37
3,16,26,31,34,39
11,13,22,23,34,40
23,26,29,31,32,35
3,10,16,17,28,41
13,15,18,23,41,42
6,12,22,24,40,41
8,9,19,29,36,39
11,13,25,30,38,40
3,5,15,22,24,27
1,4,13,23,31,32
2,6,8,9,12,38
6,10,13,17,29,32
15,17,24,28,31,35
2,7,8,19,23,40
7,16,19,20,29,30
12,16,22,23,26,28
11,20,28,30,31,40
5,7,14,19,31,39
1,9,20,25,27,28
3,4,11,21,23,34
5,18,26,30,36,42
23,24,26,34,35,36
3,16,17,34,36,38
25,26,33,35,36,39
1,12,13,17,22,32
1,5,9,23,28,33
3,9,20,24,25,27
6,9,18,21,27,39
3,8,24,32,33,41
1,14,15,19,20,32
1,9,20,27,40,42
4,10,24,25,29,39
2,16,28,34,40,42
3,6,9,11,29,31
7,29,31,32,35,36
10,15,18,29,30,34
4,6,10,27,34,41
5,11,16,26,37,40
4,6,18,31,34,40
3,16,17,23,33,40
7,16,20,24,26,36
4,5,6,7,9,23
12,24,32,33,36,42
3,11,20,29,37,39
6,9,15,22,23,39
1,8,14,15,17,22
1,11,16,19,30,31
10,13,15,21,24,26
3,10,29,30,32,40
1,5,7,22,27,39
3,4,7,9,15,33
1,12,21,35,36,40
1,15,18,20,31,36
5,13,16,30,33,35
2,12,17,18,35,39
4,15,20,26,31,41
5,24,25,27,41,42
4,7,16,17,25,39
2,5,16,28,37,40
12,14,19,29,33,35
2,12,16,28,31,37
8,11,22,33,35,42
6,19,23,29,31,35
2,4,14,23,24,34
4,5,9,16,19,39
1,5,8,22,23,28
2,4,7,8,21,36
9,14,17,22,23,35
2,5,13,20,34,36
1,7,33,35,37,41
2,7,9,19,35,40
4,6,17,26,28,32
16,21,29,33,38,41
20,24,27,36,38,40
7,23,29,30,33,34
4,11,26,32,35,40
1,8,13,22,23,37
2,8,17,18,21,34
3,21,24,25,34,42
19,24,25,28,29,36
4,6,21,23,30,36
1,4,5,20,30,42
4,12,21,27,30,37
11,27,29,30,36,37
4,12,15,27,29,31
6,7,12,16,27,33
2,11,25,29,31,41
5,23,29,38,39,41
1,4,9,20,22,35
5,15,17,21,22,35
13,15,18,21,28,29
7,23,27,32,39,41
3,13,17,19,34,36
8,15,17,30,31,41
5,9,15,20,21,34
5,6,9,32,35,40
6,7,20,23,31,42
4,15,20,23,28,41
6,8,28,30,32,36
7,9,17,19,23,40
3,10,16,17,21,32
2,11,12,13,19,41
5,7,11,15,20,40
4,11,24,27,28,32
2,10,20,21,33,41
7,12,26,28,29,37
1,18,20,23,40,42
4,13,24,28,33,36
1,2,30,31,34,35
1,10,11,17,23,33
8,9,19,20,30,37
6,17,23,27,33,35
9,10,20,26,27,31
1,6,29,31,34,39
5,12,13,25,36,39
4,13,21,30,31,33
7,10,13,27,30,41
10,16,19,28,32,37
10,19,25,33,36,40
6,22,26,29,39,41
7,8,12,15,18,30
7,12,14,18,25,38
4,20,23,30,35,38
4,12,17,20,29,37
1,5,30,32,36,41
7,9,17,22,25,33
5,20,23,32,36,37
10,21,27,29,32,38
2,7,10,13,26,32
9,10,12,16,32,37
1,6,8,9,31,32
6,9,20,28,35,42
4,16,22,26,29,30
2,19,25,27,31,38
7,8,19,29,31,34
4,8,17,27,32,40
3,9,26,34,35,41
9,20,29,33,35,39
11,28,30,37,38,39
3,6,12,20,26,36
3,15,16,17,29,36
1,8,10,15,20,33
1,5,10,15,19,36
5,11,14,22,31,32
3,4,7,8,13,37
5,10,11,13,24,36
7,13,25,32,33,37
3,14,29,31,36,38
3,6,9,21,31,35
3,10,19,27,35,38
5,23,28,31,34,40
2,3,8,24,27,40
2,5,10,17,29,35
1,3,7,19,28,31
6,7,18,20,28,33
2,15,19,20,21,22
11,12,13,25,29,34
2,16,19,30,38,42
5,13,20,28,31,32
4,12,17,21,31,39
8,12,13,19,23,29
10,13,15,36,37,41
1,20,25,27,31,41
6,21,22,32,39,40
1,15,32,36,40,42
6,15,22,29,34,40
4,8,32,34,36,38
1,5,7,9,32,42
4,12,16,24,26,31
9,12,22,28,33,42
3,11,19,25,36,39
9,17,18,23,30,34
4,10,18,19,21,27
20,22,26,29,34,39
2,15,20,21,24,38
1,3,11,12,31,38
4,18,21,29,33,42
2,5,6,11,33,42
3,6,16,17,22,28
23,24,37,38,40,42
12,21,26,27,32,33
4,14,17,20,23,31
6,14,15,19,23,29
8,18,24,25,36,39
8,15,20,21,33,37
4,21,26,29,32,41
2,18,25,28,32,33
2,22,25,31,39,40
11,12,14,30,38,42
4,16,21,36,40,41
3,14,21,24,26,31
5,15,17,25,33,34
9,14,17,18,19,38
3,7,14,16,25,31
1,4,13,30,32,39
10,12,26,29,33,37
5,18,21,26,30,40
6,14,23,24,33,42
1,5,10,12,32,42
2,15,21,31,36,40
4,11,14,19,40,41
9,18,22,31,35,36
1,10,17,31,39,40
1,9,12,15,28,41
2,11,16,28,36,38
7,17,20,34,36,40
5,6,14,17,33,38
2,21,25,33,40,42
7,21,27,32,35,41
4,8,12,30,37,40
1,12,19,27,28,38
11,14,21,22,23,36
1,14,21,30,34,39
3,4,6,20,25,41
7,25,28,35,37,40
11,12,26,27,39,40
5,21,25,27,39,41
6,17,24,37,39,40
17,23,33,35,36,42
7,22,23,26,39,40
3,4,16,19,21,38
6,8,9,23,24,35
1,12,25,29,38,41
6,16,19,21,25,37
5,9,11,19,22,24
3,5,9,16,19,26
10,12,14,16,24,38
1,2,7,32,35,40
5,6,13,15,27,32
4,11,13,15,31,40
6,10,21,23,25,28
2,18,23,31,33,40
1,14,23,24,32,35
16,19,25,30,31,35
3,6,7,11,25,29
1,7,21,26,29,35
9,13,14,19,20,23
5,11,12,24,28,40
15,24,29,33,38,41
4,14,22,23,25,42
2,4,10,13,15,38
16,18,20,22,26,30
2,8,13,18,26,34
7,23,25,29,39,40
3,12,13,23,24,37
7,9,31,32,33,35
8,20,24,29,39,41
7,13,18,20,24,25
1,10,12,13,20,26
12,19,26,27,31,41
2,4,6,14,19,23
8,10,16,28,32,35
2,3,4,7,13,38
1,2,4,15,23,25
9,15,16,20,31,33
4,16,19,21,24,40
2,14,26,29,30,40
12,20,24,25,30,37
1,3,13,32,35,37
15,17,26,30,34,39
4,9,20,29,31,39
5,6,8,13,25,38
16,19,30,33,34,37
8,17,24,25,36,41
6,9,12,23,28,36
2,18,26,28,31,40
16,17,27,28,37,40
1,4,6,17,24,25
4,9,31,35,36,37
3,7,12,22,26,36
5,17,25,29,33,34
5,16,22,25,37,42
1,7,8,16,24,41
6,12,16,20,33,42
1,16,31,33,37,40
15,26,28,29,39,41
5,6,9,11,22,30
4,5,7,19,24,28
11,24,25,30,32,36
3,24,32,37,38,40
4,8,17,26,32,40
1,7,11,13,35,37
10,12,23,33,35,37
8,15,24,29,35,42
7,8,22,23,31,42
3,26,27,31,35,42
6,10,14,15,24,39
4,5,14,18,27,38
4,5,6,24,34,36
1,12,21,25,27,42
11,12,16,17,28,31
1,6,9,20,28,35
14,15,22,28,37,40
5,18,19,31,35,36
3,13,16,19,22,26
1,2,7,15,20,29
8,9,13,26,30,42
18,19,25,28,31,33
1,20,24,27,38,39
4,9,18,22,24,25
1,2,20,24,26,36
3,8,11,15,20,25
8,9,12,20,23,39
7,22,26,32,34,36
6,7,9,38,40,42
1,5,9,21,36,40
5,7,20,23,29,38
1,2,7,20,22,34
2,9,12,18,20,22
7,19,25,29,32,34
7,9,10,14,27,42
1,6,21,23,28,36
3,18,19,29,38,39
5,7,20,37,39,42
3,4,13,19,31,32
5,10,14,17,24,32
1,12,18,32,33,42
12,15,25,26,29,34
7,10,15,30,39,42
8,11,12,23,39,42
3,11,15,26,32,37
7,8,14,29,34,40
6,10,13,23,30,42
2,5,7,29,32,38
1,7,10,13,14,15
10,15,28,29,32,37
25,28,29,31,37,42
2,4,10,22,28,40
7,8,10,14,18,36
8,13,14,21,31,41
13,16,19,21,33,36
5,8,12,13,21,26
4,22,24,29,41,42
1,2,6,24,35,39
3,10,11,19,27,42
1,6,22,27,33,36
9,11,13,16,34,35
3,5,14,20,34,40
2,4,6,7,10,39
1,28,29,31,34,39
7,10,12,34,36,40
3,12,17,25,33,40
1,5,8,27,34,37
1,2,10,18,34,37
1,6,18,21,28,34
3,8,21,26,29,33
7,8,29,30,32,40
3,7,15,30,31,42
16,20,24,26,29,40
8,17,18,28,34,40
11,23,28,30,32,36
2,18,20,21,25,27
4,5,13,28,35,37
4,13,15,19,22,31
3,5,9,25,38,40
20,22,36,40,41,42
2,4,7,8,26,32
1,7,9,26,31,37
2,9,10,21,23,31
8,9,12,23,36,38
6,22,28,30,35,37
3,9,17,21,27,38
8,12,14,21,27,31
11,14,24,27,29,33
11,14,21,24,28,36
9,12,24,36,37,42
1,3,5,7,32,33
7,12,19,21,29,35
4,21,27,29,33,38
8,27,32,38,40,41
3,6,11,23,26,36
10,19,34,36,38,42
19,20,24,34,36,41
6,7,17,22,25,27
1,17,22,31,33,35
3,12,13,18,19,41
14,15,16,21,26,31
4,18,20,26,28,30
2,11,23,30,34,37
2,14,18,21,36,41
24,31,34,35,37,39
1,14,18,19,21,29
4,9,12,30,37,42
3,6,17,25,28,35
2,16,19,35,40,42
5,22,25,29,35,42
5,14,26,28,30,40
8,19,25,29,30,35
3,12,23,24,30,39
6,21,30,32,36,39
1,10,12,18,28,38
3,26,30,33,34,37
6,14,21,24,29,33
10,12,13,19,33,34
5,10,17,18,25,28
1,4,21,22,31,34
10,12,22,24,25,37
11,12,18,23,33,39
1,5,22,31,38,39
17,23,26,32,40,42
1,4,5,21,24,39
7,9,11,15,28,39
4,15,18,30,33,34
2,12,13,16,32,35
5,17,32,34,35,36
5,19,21,24,27,36
3,4,10,18,29,42
10,13,17,25,32,39
3,4,15,26,34,42
4,5,10,11,34,35
2,6,13,26,31,36
3,13,17,22,39,42
3,8,13,16,25,31
5,7,11,19,23,40
13,14,17,23,35,40
6,7,8,10,30,42
2,11,20,24,26,33
9,21,22,26,30,32
8,24,32,35,38,39
16,18,23,30,31,40
1,10,12,15,39,41
2,6,19,24,28,32
17,21,23,34,38,40
3,7,17,24,33,40
1,2,9,16,18,20
3,17,19,24,29,36
12,14,22,25,32,36
9,11,12,20,27,37
4,5,6,14,19,30
3,11,24,25,26,28
7,9,20,22,34,39
6,11,20,28,38,40
18,19,26,29,30,39
1,13,29,33,35,42
3,5,7,9,23,29
9,14,16,31,36,42
13,20,28,35,39,40
11,12,21,22,23,41
1,17,24,26,31,36
14,18,19,22,26,31
5,14,22,29,36,40
4,6,9,13,19,29
11,16,19,29,31,37
22,25,28,33,40,41
1,5,19,21,34,39
1,7,9,13,18,39
2,8,11,15,28,38
1,5,18,30,31,36
1,15,16,26,29,42
13,16,24,31,38,42
15,30,31,35,38,42
1,28,32,34,39,42
1,4,5,19,27,42
1,7,20,21,22,23
1,9,15,21,30,35
21,26,27,28,36,41
12,22,23,27,30,37
26,30,34,36,37,42
4,17,28,31,34,38
1,7,11,17,26,39
1,10,24,28,37,39
14,25,26,31,36,40
10,12,19,25,37,39
9,10,23,26,34,39
4,5,12,14,21,35
10,17,18,20,24,38
9,17,23,25,28,39
5,11,21,33,36,41
10,11,14,24,33,41
11,30,35,39,40,41
4,8,24,29,34,40
4,5,7,9,17,23
23,27,29,30,33,40
2,12,16,19,28,29
18,20,21,22,39,40
10,13,21,22,24,33
1,5,18,24,33,40
15,23,28,32,34,36
4,23,29,33,36,39
16,23,24,28,29,30
2,14,25,34,41,42
2,20,23,30,32,38
3,7,22,23,25,34
6,18,31,34,39,41
1,4,5,9,21,24
4,13,24,30,32,36
1,8,10,26,30,37
13,20,30,34,40,41
2,3,14,19,27,36
10,36,37,38,40,42
2,11,13,16,20,32
7,9,13,16,26,41
3,21,25,28,30,39
2,3,14,16,32,41
6,12,26,31,35,40
9,13,18,24,27,29
7,15,17,28,30,40
11,12,31,37,40,41
5,6,7,10,16,25
3,6,11,14,30,36
7,17,24,28,38,41
3,4,5,9,15,20
3,6,17,29,31,38
3,27,28,29,33,35
1,26,28,33,37,41
1,8,26,28,29,34
4,15,29,30,36,37
4,8,9,12,30,40
4,6,16,18,30,41
11,19,28,33,34,36
5,6,19,27,36,42
2,8,10,19,27,37
9,23,26,35,39,42
5,18,24,32,36,39
1,7,18,22,27,41
2,4,11,32,33,36
2,3,4,17,21,42
3,10,11,12,27,29
5,6,15,19,23,36
10,11,14,16,28,32
2,8,12,15,24,31
3,5,8,24,29,31
4,10,18,21,25,35
5,10,14,18,33,38
8,9,21,24,26,41
1,23,26,27,28,38
4,14,22,26,41,42
4,7,14,30,36,42
1,7,27,28,29,33
1,4,14,18,30,32
6,17,19,27,39,42
3,14,18,19,20,35
6,20,21,31,32,39
1,3,8,12,23,30
6,15,16,24,38,40
11,22,25,29,33,34
2,7,11,17,33,35
3,5,10,16,19,35
8,17,22,24,26,38
6,9,14,16,18,38
4,7,13,29,32,35
5,7,10,17,28,31
3,6,14,25,32,39
2,3,17,22,37,39
5,9,17,20,22,29
3,16,26,34,35,36
2,7,12,16,21,40
9,13,14,18,34,37
4,6,21,22,34,36
7,21,22,32,35,37
3,6,8,11,26,29
4,7,25,27,30,33
4,5,7,24,32,42
2,4,25,29,35,39
6,12,13,22,30,36
19,21,25,26,28,39
7,33,34,37,40,41
5,21,23,40,41,42
9,14,17,20,28,41
13,17,21,26,28,42
2,12,15,25,39,41
8,12,23,24,29,37
10,15,16,20,25,41
2,3,20,22,28,42
6,13,18,24,26,30
8,11,16,18,22,41
8,11,16,19,35,37
13,14,20,21,23,35
3,10,12,17,18,29
12,15,32,33,36,40
1,4,5,13,15,29
3,6,14,17,25,38
5,14,15,18,37,41
1,3,5,20,25,27
2,3,23,25,29,40
4,6,7,8,26,32
8,14,18,26,29,41
10,14,15,28,31,34
11,17,18,37,38,41
10,11,14,21,37,40
3,5,11,33,34,37
1,4,17,25,26,37
4,13,19,21,38,41
3,6,15,17,20,33
1,8,17,22,28,36
1,7,12,19,22,34
1,5,9,12,16,34
19,20,25,31,36,40
8,10,24,27,30,36
11,13,22,38,39,41
13,18,19,23,36,40
1,2,14,19,29,39
1,3,7,8,12,19
4,6,7,19,27,28
9,26,32,33,37,40
12,15,23,36,37,39
7,16,19,20,27,40
4,6,25,28,36,41
4,10,21,27,37,41
11,13,15,23,31,33
17,19,22,26,28,34
3,4,7,10,31,37
4,9,11,23,27,34
8,12,16,20,28,34
1,4,13,16,18,40
4,5,16,17,19,20
7,15,25,36,38,40
2,21,26,35,36,42
1,16,21,23,36,37
12,15,18,23,34,42
9,10,18,19,31,37
2,9,19,21,30,34
8,11,13,16,25,42
7,16,17,26,27,34
15,17,21,26,32,36
6,16,28,30,31,37
7,8,10,15,20,40
17,21,29,32,34,39
1,4,6,9,14,40
8,9,15,25,26,27
3,14,15,27,34,42
2,3,12,20,36,39
3,10,12,17,23,32
11,15,25,26,28,31
6,16,19,20,34,36
9,12,28,35,38,39
1,11,12,33,37,38
12,14,17,26,30,38
9,10,15,19,34,42
3,17,19,23,29,32
2,15,16,22,30,33
7,11,18,19,31,34
11,14,26,29,34,41
1,6,12,18,23,26
13,15,18,31,32,42
3,16,34,36,37,39
5,15,22,30,32,33
1,7,13,27,29,42
5,26,31,34,38,41
5,17,19,28,29,38
3,17,18,26,32,40
15,20,22,26,32,36
3,11,28,31,36,38
4,7,15,17,23,37
11,30,31,34,35,41
12,15,22,30,32,36
1,5,23,30,34,38
8,9,21,24,31,42
2,7,15,19,27,34
3,4,12,27,31,42
1,3,4,5,11,29
10,12,14,17,20,41
11,22,23,30,34,41
2,5,25,30,37,40
5,6,10,13,38,40
1,5,13,32,35,40
12,15,29,30,33,38
7,25,28,31,35,42
2,18,23,26,36,39
10,18,19,23,31,38
6,19,21,23,29,41
6,10,11,14,31,42
2,5,8,25,29,36
2,5,9,10,26,27
14,17,24,29,32,42
13,17,18,37,40,42
6,11,12,18,19,32
11,16,21,24,40,41
4,15,29,31,35,36
11,12,22,32,33,37
1,6,12,21,39,40
6,10,20,34,36,39
13,16,20,31,33,36
7,9,11,27,38,41
6,7,16,19,25,31
14,19,21,22,28,34
8,34,37,38,39,40
1,7,24,27,37,40
2,14,15,20,26,37
5,6,16,27,31,32
9,12,14,27,34,41
4,8,16,23,27,40
4,12,19,24,37,39
3,13,15,25,31,33
4,8,13,25,36,42
2,8,10,18,28,34
4,7,10,14,26,42
5,13,31,32,36,37
5,9,19,20,25,29
7,10,12,22,34,37
2,6,24,25,31,40
2,5,24,26,27,33
2,6,10,11,18,19
6,9,24,35,36,41
12,21,26,30,32,37
2,9,12,20,25,27
2,25,29,35,37,38
3,9,28,29,38,42
4,5,6,7,40,42
12,16,20,22,24,34
8,18,24,26,27,28
19,21,22,31,32,36
8,22,27,32,37,39
2,3,4,12,17,31
6,12,13,21,35,42
5,8,10,18,21,37
5,6,10,12,20,41
2,13,14,27,28,40
6,10,14,24,31,37
1,9,10,30,34,39
9,17,21,28,36,38
2,9,15,18,23,25
1,18,25,28,29,36
6,7,10,25,27,33
8,13,27,33,35,41
1,11,13,23,34,40
3,9,26,27,36,37
2,4,5,19,36,40
3,9,14,32,34,39
1,4,6,9,12,39
5,11,16,24,39,42
10,12,22,23,27,40
11,17,18,20,38,42
1,5,7,19,21,29
8,26,29,35,36,40
5,15,20,21,38,40
5,6,19,38,39,41
20,25,36,38,39,41
5,15,23,30,35,39
14,26,28,29,30,33
10,16,25,28,37,40
10,12,15,23,30,36
6,9,25,35,37,38
1,7,9,20,29,41
14,24,25,32,39,41
16,26,28,36,41,42
23,30,32,35,39,40
5,9,16,20,36,42
7,11,12,19,23,41
1,20,25,26,29,36
1,10,12,28,30,37
2,9,24,30,35,39
1,8,18,19,34,41
1,7,10,19,31,33
2,10,19,24,27,42
